Model,Manufacturer,Pollution_CO2_g_per_pax_km,Passenger_Capacity,Units_Manufactured,Manufacturing_Country,Country_of_Origin,Year_First_Made,Range_km,Wingspan_m,Engine_Count,Engine_Type,Max_Speed_kph,Length_m,Height_m
MJ198,Mitsubishi,328.07,743,1096,Japan,Japan,2008,7418,77.19,2,Turbojet,940,44.93,22.75
B337,Boeing,311.02,784,1507,USA,USA,2007,9770,68.66,4,Turbofan,949,55.65,12.82
B812,Boeing,171.71,605,889,USA,USA,1969,13927,79.02,2,Turbofan,877,60.99,12.89
A570,Airbus,479.85,399,620,France,France,2007,8542,50.79,2,Turbojet,888,64.51,10.9
A769,Airbus,344.57,643,1408,France,France,1958,3525,39.28,2,Turbofan,936,50.42,9.64
TU347,Tupolev,168.69,459,287,Russia,Russia,1965,14497,69.42,2,Turbojet,971,55.4,9.71
B449,Boeing,297.79,505,817,USA,USA,2007,6649,76.51,4,Turbojet,818,51.99,17.21
A698,Airbus,464.75,52,1541,France,France,1980,5557,72.81,4,Turbofan,905,71.38,7.52
MJ209,Mitsubishi,145.71,301,1161,Japan,Japan,1966,3306,50.93,2,Turbofan,912,34.02,6.25
EM601,Embraer,273.47,794,983,Brazil,Brazil,1986,9316,44.68,4,Turbojet,945,53.11,19.19
C621,Comac,327.97,314,175,China,China,1963,12378,31.2,4,Turbojet,846,61.45,17.4
A331,Airbus,218.3,773,1577,France,France,1989,6404,78.46,4,Turbojet,874,37.81,11.12
MJ493,Mitsubishi,61.57,811,1188,Japan,Japan,2006,4589,39.2,2,Turbojet,831,66.35,16.28
A793,Airbus,88.51,531,887,France,France,1977,13205,48.08,2,Turbofan,837,71.82,10.37
A665,Airbus,303.45,746,121,France,France,1975,9762,62.71,4,Turbofan,948,44.12,20.72
EM425,Embraer,97.13,461,310,Brazil,Brazil,2007,6191,41.79,2,Turbofan,943,31.77,14.55
EM847,Embraer,317.84,705,1010,Brazil,Brazil,2004,6710,59.96,4,Turbofan,982,56.53,11.89
C459,Comac,177.9,310,780,China,China,1950,2542,27.75,4,Turboprop,875,59.61,15.86
MJ578,Mitsubishi,80.57,160,1953,Japan,Japan,1950,12542,62.65,2,Turboprop,935,56.84,10.91
EM672,Embraer,334.88,214,33,Brazil,Brazil,1983,14781,44.11,4,Turbofan,913,46.65,9.48
MJ641,Mitsubishi,129.09,319,648,Japan,Japan,2007,6697,72.7,4,Turbofan,804,46.37,19.91
TU409,Tupolev,183.25,585,1152,Russia,Russia,1970,9521,28.29,4,Turbofan,935,43.9,16.59
B111,Boeing,489.5,204,1337,USA,USA,2001,3544,77.21,4,Turbojet,942,56.15,19.98
C324,Comac,76.91,709,1129,China,China,1975,14649,39.17,2,Turbojet,933,26.09,22.22
TU688,Tupolev,398.61,570,718,Russia,Russia,1988,11440,23.85,2,Turbofan,825,48.96,21.47
B606,Boeing,313.46,624,874,USA,USA,2001,6602,62.07,2,Turbofan,838,41.03,17.78
C214,Comac,194.25,644,1298,China,China,1987,7087,43.28,2,Turbojet,878,36.57,15.95
MJ953,Mitsubishi,265.98,845,925,Japan,Japan,2005,6335,75.06,2,Turbofan,963,74.67,10.13
EM170,Embraer,418.5,649,661,Brazil,Brazil,1979,5773,79.9,4,Turbojet,930,34.06,19.57
TU557,Tupolev,465.07,556,25,Russia,Russia,1959,4264,79.97,2,Turbojet,830,63.97,20.63
EM227,Embraer,56.22,763,1339,Brazil,Brazil,1968,7759,35.02,4,Turboprop,822,65.65,18.92
EM900,Embraer,429.58,205,747,Brazil,Brazil,2015,10279,78.04,4,Turboprop,996,70.89,9.37
TU793,Tupolev,160.94,292,588,Russia,Russia,1973,11519,64.28,4,Turboprop,844,43.61,22.44
MJ917,Mitsubishi,426.87,333,1938,Japan,Japan,1980,5161,53.29,2,Turbofan,807,29.79,11.41
A484,Airbus,343.82,537,712,France,France,1955,7251,45.75,4,Turbojet,938,48.6,9.19
EM591,Embraer,308.38,347,1317,Brazil,Brazil,2010,9542,31.26,4,Turbofan,976,34.72,12.63
A193,Airbus,459.04,260,1707,France,France,1969,3195,39.16,4,Turbofan,922,45.27,12.37
MJ327,Mitsubishi,428.36,265,714,Japan,Japan,1991,2012,77.53,4,Turbofan,877,43.94,14.25
BD859,Bombardier,227.69,66,1157,Canada,Canada,1974,7411,52.6,2,Turboprop,873,29.58,17.31
BD824,Bombardier,266.66,207,858,Canada,Canada,2005,12682,36.52,2,Turbofan,931,59.18,14.49
BD337,Bombardier,347.42,764,799,Canada,Canada,1998,10855,35.92,4,Turbojet,800,36.38,13.7
EM136,Embraer,170.65,537,1282,Brazil,Brazil,2014,2175,41.49,2,Turbofan,874,39.27,23.65
EM666,Embraer,278.65,494,738,Brazil,Brazil,2011,12229,27.67,4,Turbojet,865,74.02,16.52
A923,Airbus,140.61,391,1689,France,France,1969,2709,75.39,2,Turbojet,901,38.9,21.42
EM874,Embraer,401.47,809,931,Brazil,Brazil,2016,11841,28.49,4,Turboprop,813,34.72,6.79
MJ530,Mitsubishi,234.65,136,1252,Japan,Japan,1972,5900,68.85,2,Turboprop,976,42.03,10.77
A264,Airbus,427.99,469,1835,France,France,1972,3434,20.59,2,Turbojet,878,66.67,7.13
MJ833,Mitsubishi,467.5,352,335,Japan,Japan,2005,8575,48.99,2,Turboprop,968,47.75,7.02
MJ634,Mitsubishi,482.47,541,1700,Japan,Japan,1957,10141,43.35,2,Turbojet,855,49.98,6.48
C865,Comac,481.47,494,208,China,China,1956,9003,30.47,2,Turbofan,918,64.6,8.56
EM753,Embraer,397.82,204,1420,Brazil,Brazil,1989,2696,35.95,4,Turbojet,898,41.61,6.47
MJ491,Mitsubishi,110.03,832,788,Japan,Japan,1974,5373,65.64,2,Turboprop,912,29.97,7.91
EM829,Embraer,386.63,434,1845,Brazil,Brazil,2020,6162,38.56,2,Turbofan,832,47.36,17.5
TU742,Tupolev,250.51,230,1199,Russia,Russia,2018,8014,68.12,4,Turbojet,941,73.19,18.92
TU610,Tupolev,310.28,733,565,Russia,Russia,2017,13057,47.92,4,Turbofan,960,48.45,17.45
EM193,Embraer,66.68,611,777,Brazil,Brazil,2018,14140,39.15,2,Turbofan,867,63.12,21.45
B883,Boeing,66.3,363,754,USA,USA,1973,8029,45.19,2,Turbofan,921,43.28,7.62
BD335,Bombardier,195.9,233,1477,Canada,Canada,2019,12047,53.08,2,Turbojet,830,36.3,19.54
BD641,Bombardier,299.0,819,73,Canada,Canada,1952,7944,59.83,2,Turbofan,974,41.22,14.29
C439,Comac,229.33,828,1213,China,China,1967,11607,28.77,4,Turbofan,884,42.76,10.09
TU258,Tupolev,335.03,789,1310,Russia,Russia,1965,12317,36.59,4,Turboprop,917,30.34,22.59
MJ151,Mitsubishi,318.91,349,1668,Japan,Japan,1952,10713,74.28,4,Turbojet,928,74.53,16.28
TU393,Tupolev,267.09,837,630,Russia,Russia,1984,7831,59.49,4,Turbofan,933,44.95,15.98
TU155,Tupolev,357.08,113,62,Russia,Russia,2015,6362,50.23,4,Turbojet,858,49.43,21.86
BD615,Bombardier,223.79,629,1797,Canada,Canada,1986,13889,63.53,2,Turbofan,896,70.21,14.56
A396,Airbus,110.63,316,1753,France,France,1958,3848,52.04,2,Turbofan,810,44.82,13.4
TU151,Tupolev,141.99,744,439,Russia,Russia,1977,2939,38.25,2,Turboprop,811,41.57,17.45
TU747,Tupolev,360.33,166,1915,Russia,Russia,1969,3748,50.3,4,Turboprop,821,69.1,9.72
EM321,Embraer,485.88,627,231,Brazil,Brazil,1951,3108,59.7,2,Turbofan,822,44.13,22.12
EM314,Embraer,295.44,305,1461,Brazil,Brazil,1991,5792,25.62,4,Turbojet,952,31.61,21.58
C346,Comac,371.06,605,884,China,China,2001,6589,65.38,4,Turbofan,964,44.24,12.97
A607,Airbus,270.28,291,729,France,France,1954,14567,76.24,2,Turboprop,857,39.0,6.63
EM650,Embraer,389.91,763,1600,Brazil,Brazil,2013,5296,58.76,2,Turbojet,998,47.89,12.73
BD438,Bombardier,481.72,236,317,Canada,Canada,2000,12602,27.14,2,Turboprop,866,73.71,17.44
TU329,Tupolev,255.41,120,133,Russia,Russia,1979,10082,61.99,4,Turbojet,989,67.97,20.41
TU759,Tupolev,109.98,126,801,Russia,Russia,1986,4909,36.66,2,Turbojet,977,60.71,18.45
MJ558,Mitsubishi,244.96,92,1610,Japan,Japan,2012,2737,68.74,2,Turbofan,818,71.72,13.83
B236,Boeing,159.5,687,1886,USA,USA,1977,8046,67.07,2,Turbojet,805,68.66,22.85
B703,Boeing,410.67,285,1385,USA,USA,1988,14086,31.36,2,Turboprop,910,44.01,19.03
BD231,Bombardier,274.26,323,1330,Canada,Canada,1995,9983,40.33,2,Turboprop,942,34.35,18.11
BD907,Bombardier,216.12,403,797,Canada,Canada,1993,7717,71.89,2,Turboprop,948,46.11,13.54
MJ224,Mitsubishi,179.98,717,1698,Japan,Japan,1961,8086,70.17,4,Turboprop,897,58.67,12.07
BD927,Bombardier,390.83,243,1085,Canada,Canada,1986,3932,49.84,4,Turboprop,989,69.48,8.1
TU595,Tupolev,137.59,634,1520,Russia,Russia,2020,4796,68.8,2,Turbojet,862,48.27,18.35
TU467,Tupolev,431.7,365,400,Russia,Russia,1982,6943,72.19,2,Turbofan,944,59.86,11.48
B331,Boeing,453.27,499,683,USA,USA,1965,2781,65.42,4,Turbojet,962,32.65,6.2
B203,Boeing,356.4,542,1242,USA,USA,1981,1586,75.06,4,Turbofan,922,46.97,22.77
EM745,Embraer,179.44,252,759,Brazil,Brazil,1954,9442,20.46,4,Turbofan,959,28.72,7.54
TU417,Tupolev,334.32,689,538,Russia,Russia,1958,13859,59.75,4,Turboprop,939,74.54,11.12
MJ210,Mitsubishi,453.13,215,388,Japan,Japan,2002,7280,31.33,4,Turbofan,956,35.52,23.31
TU485,Tupolev,432.28,500,1938,Russia,Russia,1966,9464,35.06,2,Turbofan,822,53.67,15.41
MJ771,Mitsubishi,84.97,654,1629,Japan,Japan,1974,10643,72.22,4,Turbojet,899,30.79,20.84
C172,Comac,178.2,318,1447,China,China,1978,9703,64.4,2,Turbojet,823,66.11,10.66
MJ436,Mitsubishi,382.27,749,893,Japan,Japan,1993,8678,77.85,2,Turbojet,921,47.56,16.45
BD950,Bombardier,485.37,290,1281,Canada,Canada,2007,1789,40.07,4,Turboprop,957,25.32,18.91
MJ357,Mitsubishi,432.93,102,1553,Japan,Japan,1960,10457,63.36,4,Turbojet,867,40.28,15.5
MJ527,Mitsubishi,109.56,843,604,Japan,Japan,1970,12766,64.82,2,Turbofan,852,26.77,23.68
MJ228,Mitsubishi,142.4,725,216,Japan,Japan,2014,4552,36.55,4,Turboprop,873,28.01,19.27
B939,Boeing,459.16,81,293,USA,USA,1963,12664,74.53,4,Turbojet,973,59.86,15.72
MJ420,Mitsubishi,136.23,253,1848,Japan,Japan,1969,9792,53.65,2,Turboprop,823,31.59,14.38
C581,Comac,491.0,436,15,China,China,1983,3823,40.01,4,Turboprop,893,68.37,9.55
TU529,Tupolev,305.19,678,1724,Russia,Russia,2015,3834,64.32,4,Turboprop,848,32.9,22.04
EM300,Embraer,239.4,714,310,Brazil,Brazil,2010,14145,70.24,2,Turbofan,883,67.38,17.21
B764,Boeing,334.43,507,262,USA,USA,2019,8135,31.78,4,Turbofan,813,34.75,19.82
TU529,Tupolev,417.41,564,1657,Russia,Russia,1988,8382,57.37,2,Turboprop,813,32.46,11.48
TU867,Tupolev,230.18,531,1606,Russia,Russia,1956,9068,77.07,4,Turbojet,955,56.09,21.69
B197,Boeing,167.31,320,1823,USA,USA,2012,6354,73.64,4,Turbojet,903,73.62,22.67
C894,Comac,169.67,645,111,China,China,1969,8929,71.88,2,Turbojet,838,57.27,18.14
B725,Boeing,129.18,267,737,USA,USA,1987,8815,32.66,2,Turbojet,904,30.89,8.01
A439,Airbus,322.39,699,1369,France,France,2010,10378,46.02,2,Turbofan,893,52.18,23.36
B863,Boeing,418.6,583,1642,USA,USA,2011,9406,79.92,4,Turboprop,803,26.41,21.65
B956,Boeing,127.84,92,776,USA,USA,1976,7249,40.03,2,Turbofan,805,46.73,12.35
B640,Boeing,158.92,570,267,USA,USA,1994,8110,41.56,2,Turboprop,933,68.29,14.81
C902,Comac,56.23,490,1594,China,China,1953,11319,60.92,2,Turbojet,817,63.57,13.86
MJ896,Mitsubishi,341.6,507,880,Japan,Japan,1965,2566,58.45,2,Turbojet,819,35.49,9.48
MJ664,Mitsubishi,365.59,783,610,Japan,Japan,1961,5504,56.38,2,Turbofan,899,45.14,19.47
B300,Boeing,424.28,103,1540,USA,USA,1953,8290,42.4,2,Turbofan,879,46.25,11.56
B856,Boeing,434.55,107,1359,USA,USA,2015,3011,51.14,2,Turboprop,890,32.75,14.7
B837,Boeing,77.02,752,1467,USA,USA,1965,3160,47.28,2,Turbofan,868,73.18,21.62
MJ817,Mitsubishi,468.48,83,175,Japan,Japan,1988,8345,69.41,2,Turboprop,962,67.53,13.53
BD511,Bombardier,331.03,696,1781,Canada,Canada,2006,4685,72.71,2,Turbojet,890,68.06,22.13
EM926,Embraer,491.09,378,1952,Brazil,Brazil,2017,6721,21.47,2,Turbojet,966,52.72,18.35
BD204,Bombardier,360.42,441,247,Canada,Canada,1953,13108,55.38,2,Turbojet,897,63.42,12.28
B250,Boeing,305.51,113,1453,USA,USA,1966,5703,40.18,2,Turboprop,898,56.0,19.58
EM955,Embraer,449.38,238,1133,Brazil,Brazil,2005,11437,71.34,2,Turboprop,811,48.65,23.01
C975,Comac,148.65,468,1549,China,China,1992,3875,46.77,4,Turboprop,818,71.39,12.88
A601,Airbus,175.45,359,1938,France,France,1998,2948,71.73,2,Turbofan,811,33.06,9.65
MJ224,Mitsubishi,110.52,469,1073,Japan,Japan,2005,14856,61.92,4,Turboprop,985,45.69,19.66
A584,Airbus,258.47,442,547,France,France,1975,7801,44.11,2,Turbofan,885,68.23,16.0
B140,Boeing,196.0,516,1230,USA,USA,2003,13591,27.97,2,Turbofan,894,70.44,12.24
B413,Boeing,150.59,191,1934,USA,USA,2007,5716,79.65,2,Turbofan,831,56.24,15.0
B194,Boeing,199.79,713,1708,USA,USA,1999,7926,79.43,4,Turboprop,947,64.5,17.55
MJ839,Mitsubishi,228.07,646,1525,Japan,Japan,1965,1951,52.13,4,Turbojet,932,59.12,15.65
MJ201,Mitsubishi,191.02,825,1849,Japan,Japan,2010,10592,35.49,4,Turboprop,853,37.43,19.3
B269,Boeing,136.23,492,461,USA,USA,1973,7371,78.76,2,Turbofan,943,66.21,9.97
MJ433,Mitsubishi,235.53,560,1340,Japan,Japan,1953,14539,72.37,2,Turboprop,871,28.0,9.13
BD810,Bombardier,416.35,178,1858,Canada,Canada,2003,13661,35.18,4,Turboprop,800,27.49,22.83
BD523,Bombardier,476.54,85,1262,Canada,Canada,1961,5527,67.04,2,Turboprop,806,46.9,21.26
BD564,Bombardier,81.84,302,216,Canada,Canada,1963,8431,55.66,4,Turbofan,807,67.38,23.66
MJ528,Mitsubishi,149.49,797,1020,Japan,Japan,1969,1856,51.7,4,Turbofan,987,51.03,6.58
C389,Comac,448.74,189,1166,China,China,1957,8212,76.59,4,Turbojet,966,28.47,23.93
B428,Boeing,285.14,666,1366,USA,USA,1977,9317,20.02,2,Turbojet,829,38.36,16.38
EM466,Embraer,345.35,91,1555,Brazil,Brazil,2008,12642,67.42,4,Turboprop,870,31.83,18.24
BD705,Bombardier,70.46,598,848,Canada,Canada,1953,5269,34.81,4,Turbofan,892,49.91,12.64
A313,Airbus,363.08,495,173,France,France,1962,10466,42.96,4,Turbofan,806,57.87,21.89
B156,Boeing,387.58,701,656,USA,USA,2012,9085,54.94,2,Turboprop,966,49.32,10.28
B870,Boeing,402.36,382,142,USA,USA,1986,3616,37.95,4,Turbojet,804,38.43,9.65
C968,Comac,232.88,396,1645,China,China,1987,2749,57.2,2,Turboprop,890,30.75,13.78
EM785,Embraer,351.65,463,1725,Brazil,Brazil,1968,4323,51.71,4,Turbofan,954,57.74,16.28
MJ401,Mitsubishi,109.35,668,1154,Japan,Japan,1953,11634,56.15,2,Turbofan,945,48.09,23.07
A923,Airbus,239.62,651,684,France,France,2019,11482,20.51,4,Turbojet,934,41.41,11.52
B967,Boeing,254.95,507,607,USA,USA,1987,3999,57.48,2,Turbofan,808,46.04,22.51
MJ258,Mitsubishi,320.91,154,1413,Japan,Japan,1980,6384,56.21,4,Turbojet,878,40.0,7.84
TU643,Tupolev,437.43,298,1223,Russia,Russia,2007,9518,22.61,4,Turboprop,977,46.8,15.43
B249,Boeing,261.9,462,1554,USA,USA,2015,7141,77.09,4,Turbojet,946,70.46,11.73
TU417,Tupolev,371.45,181,569,Russia,Russia,1964,2284,30.19,2,Turbojet,887,69.09,10.65
C426,Comac,61.08,454,1147,China,China,2012,5379,54.69,2,Turbofan,805,26.28,18.73
C676,Comac,449.83,281,131,China,China,1953,12156,36.22,2,Turbojet,863,40.53,19.31
EM216,Embraer,77.79,301,1832,Brazil,Brazil,1981,6622,20.69,4,Turbojet,991,27.57,13.24
A627,Airbus,195.69,67,923,France,France,1973,1906,50.26,4,Turboprop,808,57.2,10.39
TU780,Tupolev,369.79,144,1525,Russia,Russia,1950,13486,58.95,2,Turbofan,836,25.05,23.55
C458,Comac,209.08,539,163,China,China,2009,5132,75.25,4,Turbojet,957,44.2,7.38
A111,Airbus,118.57,80,644,France,France,1993,12185,67.67,2,Turboprop,925,60.71,18.0
MJ360,Mitsubishi,235.31,174,1840,Japan,Japan,2010,11692,75.74,2,Turbofan,802,38.06,20.05
MJ460,Mitsubishi,201.63,357,246,Japan,Japan,1977,9626,58.35,2,Turbofan,900,38.25,23.67
MJ899,Mitsubishi,228.27,793,508,Japan,Japan,1993,12754,28.18,2,Turbofan,863,39.48,21.44
BD777,Bombardier,127.46,260,452,Canada,Canada,1981,4464,72.34,2,Turbofan,951,28.69,17.9
B436,Boeing,110.41,493,1175,USA,USA,2012,4574,77.97,4,Turbojet,936,50.62,15.16
A952,Airbus,81.45,790,1606,France,France,1966,10326,53.85,2,Turbofan,970,57.39,15.83
BD551,Bombardier,317.95,477,1941,Canada,Canada,1968,6258,75.76,2,Turbojet,889,70.84,15.92
EM273,Embraer,451.19,304,1684,Brazil,Brazil,2002,9398,77.49,2,Turbofan,829,49.13,15.08
C916,Comac,429.14,95,576,China,China,2014,10500,22.67,4,Turbojet,874,55.53,16.64
C493,Comac,388.7,154,492,China,China,1982,3496,66.38,2,Turbofan,927,27.23,17.43
A367,Airbus,138.16,713,101,France,France,1982,7255,64.53,4,Turboprop,829,41.77,9.31
A567,Airbus,221.11,190,675,France,France,2005,9001,27.59,4,Turbofan,897,31.78,15.5
MJ356,Mitsubishi,391.05,517,909,Japan,Japan,1996,6831,27.11,2,Turbofan,987,71.02,13.52
A208,Airbus,53.0,233,111,France,France,1971,12663,40.97,2,Turbofan,883,37.73,18.5
C506,Comac,359.35,446,1306,China,China,1972,8020,46.64,2,Turboprop,994,37.52,9.93
A974,Airbus,345.0,743,171,France,France,1977,2223,62.84,2,Turboprop,941,62.74,7.55
TU395,Tupolev,347.32,178,1422,Russia,Russia,2012,9956,66.45,2,Turboprop,996,73.84,12.34
C314,Comac,197.23,136,1546,China,China,1971,9639,74.71,4,Turbojet,973,49.0,13.33
A570,Airbus,81.01,359,809,France,France,1994,14609,47.35,4,Turbofan,880,38.65,6.28
TU437,Tupolev,343.6,252,360,Russia,Russia,1964,5678,38.86,4,Turbojet,927,65.81,23.13
MJ144,Mitsubishi,426.96,128,1629,Japan,Japan,1982,7031,66.3,2,Turbojet,874,48.14,15.58
A333,Airbus,265.79,529,353,France,France,1988,14327,53.64,4,Turbofan,984,41.88,8.36
C563,Comac,417.95,591,127,China,China,1954,12271,67.95,2,Turbofan,873,40.7,9.19
MJ467,Mitsubishi,129.2,53,1053,Japan,Japan,2005,10246,26.38,2,Turboprop,807,73.47,6.68
BD782,Bombardier,168.38,516,532,Canada,Canada,1982,10218,42.92,2,Turbofan,856,48.07,18.2
TU913,Tupolev,375.84,595,290,Russia,Russia,1987,5200,79.65,2,Turbojet,955,73.38,8.49
A509,Airbus,234.0,297,1912,France,France,1979,4423,20.37,4,Turbojet,984,33.95,11.09
A120,Airbus,144.01,158,1618,France,France,2020,10366,56.81,4,Turbojet,991,31.9,19.62
MJ748,Mitsubishi,422.42,790,624,Japan,Japan,1958,5935,62.2,4,Turboprop,950,63.06,16.77
EM524,Embraer,227.38,649,686,Brazil,Brazil,1963,13878,65.53,4,Turbofan,803,40.3,22.22
B605,Boeing,457.45,290,691,USA,USA,1966,11203,49.54,4,Turbojet,835,63.19,20.59
EM602,Embraer,486.54,772,157,Brazil,Brazil,1980,9053,73.93,2,Turbofan,990,62.4,10.31
C888,Comac,473.36,207,817,China,China,1959,12644,51.21,4,Turbofan,911,63.16,15.86
A163,Airbus,143.11,157,1630,France,France,1971,14942,33.47,2,Turbojet,918,29.92,6.98
C578,Comac,203.6,360,284,China,China,2018,2981,29.41,4,Turbofan,820,68.92,15.85
MJ801,Mitsubishi,418.97,356,115,Japan,Japan,1986,8950,34.35,4,Turbojet,931,51.75,18.74
C944,Comac,114.65,666,1379,China,China,1979,9842,77.03,2,Turbofan,904,49.62,16.72
B639,Boeing,437.95,375,1407,USA,USA,2014,7938,78.71,2,Turbofan,848,36.48,16.83
MJ783,Mitsubishi,254.55,486,1910,Japan,Japan,1968,2263,56.25,4,Turbojet,830,39.64,21.66
A580,Airbus,442.68,63,557,France,France,1981,14871,35.05,4,Turbofan,803,49.49,6.44
EM852,Embraer,450.49,438,1329,Brazil,Brazil,2011,12597,49.11,2,Turbojet,842,31.0,17.73
BD140,Bombardier,402.27,163,1552,Canada,Canada,1973,12805,24.62,4,Turboprop,920,33.83,7.42
BD946,Bombardier,225.15,315,1921,Canada,Canada,2007,13718,36.46,4,Turbojet,818,73.43,21.05
EM286,Embraer,394.72,227,1710,Brazil,Brazil,1958,2598,74.33,4,Turbojet,943,70.69,17.09
EM882,Embraer,477.83,103,426,Brazil,Brazil,1956,4172,26.83,4,Turbofan,839,35.07,12.84
TU633,Tupolev,167.03,84,1033,Russia,Russia,1970,5436,64.69,4,Turbofan,951,55.75,9.92
A892,Airbus,176.11,124,184,France,France,1970,11305,30.65,4,Turboprop,887,35.95,13.96
A831,Airbus,460.91,320,1207,France,France,1951,9868,40.32,2,Turbojet,911,35.58,21.65
BD873,Bombardier,184.39,675,577,Canada,Canada,1991,6076,38.09,4,Turbojet,840,27.44,17.22
A392,Airbus,499.42,682,1010,France,France,1973,7608,57.48,4,Turbofan,825,69.52,15.66
BD141,Bombardier,402.25,160,287,Canada,Canada,1958,14917,77.22,4,Turboprop,978,28.45,15.98
TU200,Tupolev,54.39,158,940,Russia,Russia,1979,3383,74.33,4,Turbofan,988,50.94,21.64
C884,Comac,194.23,422,785,China,China,2008,13966,44.08,2,Turbojet,949,68.46,6.73
A706,Airbus,76.19,547,570,France,France,1959,2334,28.7,2,Turbojet,926,35.39,10.03
B778,Boeing,433.32,372,913,USA,USA,1969,14105,67.78,2,Turbofan,943,47.44,13.04
MJ521,Mitsubishi,55.79,651,1326,Japan,Japan,2012,8616,38.98,2,Turbojet,890,67.47,17.21
C884,Comac,267.01,238,1953,China,China,1954,9387,79.1,4,Turbojet,869,55.25,11.75
B576,Boeing,102.95,204,946,USA,USA,2012,14381,71.8,2,Turbojet,916,36.0,18.91
MJ802,Mitsubishi,241.85,814,1217,Japan,Japan,2012,10650,62.62,2,Turboprop,953,34.2,12.34
B381,Boeing,380.73,659,796,USA,USA,2011,2272,24.34,2,Turbofan,927,48.37,11.21
EM156,Embraer,208.0,404,573,Brazil,Brazil,1992,11526,73.26,4,Turbofan,975,63.15,23.89
C688,Comac,443.44,635,734,China,China,1976,5241,45.58,2,Turboprop,964,74.48,12.4
EM905,Embraer,279.02,593,451,Brazil,Brazil,1978,8004,60.42,2,Turbofan,874,36.84,10.62
B485,Boeing,341.43,844,1517,USA,USA,1997,13264,72.95,4,Turbojet,843,42.82,15.75
B304,Boeing,340.16,704,135,USA,USA,1974,12546,36.95,4,Turbojet,879,42.76,23.93
BD893,Bombardier,395.99,655,528,Canada,Canada,1952,14359,42.46,2,Turbofan,958,28.14,22.13
BD182,Bombardier,166.86,596,1937,Canada,Canada,1972,2260,49.83,4,Turboprop,885,35.02,19.19
EM119,Embraer,277.25,200,15,Brazil,Brazil,1980,6478,61.97,2,Turboprop,856,60.19,8.23
EM423,Embraer,323.91,788,745,Brazil,Brazil,1972,5929,60.49,4,Turbojet,882,71.86,11.86
A602,Airbus,317.77,405,1920,France,France,1974,14058,21.23,2,Turbojet,863,73.51,22.67
C709,Comac,177.88,364,533,China,China,1959,2966,46.31,2,Turbofan,839,71.77,21.92
EM656,Embraer,108.78,314,1840,Brazil,Brazil,1993,9700,60.17,2,Turboprop,900,45.99,14.6
C613,Comac,373.57,812,2000,China,China,2003,5087,58.52,4,Turbofan,850,59.54,9.15
TU902,Tupolev,420.01,754,414,Russia,Russia,1968,2175,79.87,4,Turboprop,993,25.62,10.17
A440,Airbus,179.32,644,468,France,France,1967,5508,55.29,4,Turbojet,810,59.92,13.46
C238,Comac,160.76,122,637,China,China,1985,14983,65.42,2,Turboprop,996,52.79,20.02
A875,Airbus,122.3,487,491,France,France,1988,9977,47.08,2,Turbofan,953,68.51,21.81
EM614,Embraer,448.68,65,1097,Brazil,Brazil,1993,6701,44.1,4,Turbojet,905,48.07,6.55
B116,Boeing,293.98,783,1715,USA,USA,1959,8046,30.64,4,Turbojet,864,40.83,11.22
MJ781,Mitsubishi,159.06,773,417,Japan,Japan,1985,13333,37.44,4,Turboprop,957,73.47,8.07
B286,Boeing,195.41,667,1162,USA,USA,2006,9498,47.67,2,Turbojet,813,35.91,14.05
BD423,Bombardier,228.93,777,42,Canada,Canada,1975,2863,61.7,2,Turboprop,921,68.71,9.93
A542,Airbus,257.03,413,918,France,France,1966,5101,71.17,2,Turbofan,991,45.45,19.54
TU909,Tupolev,397.59,264,1787,Russia,Russia,2018,12163,39.56,2,Turbofan,896,60.02,23.59
EM923,Embraer,181.99,719,169,Brazil,Brazil,1969,2091,29.54,4,Turboprop,805,30.43,10.83
TU447,Tupolev,198.53,666,412,Russia,Russia,1973,7860,77.05,2,Turbojet,992,33.97,20.39
MJ186,Mitsubishi,303.44,595,1871,Japan,Japan,2018,9418,36.14,4,Turboprop,976,25.15,17.64
EM845,Embraer,79.76,109,972,Brazil,Brazil,1961,7755,22.02,4,Turbojet,967,59.33,7.81
A582,Airbus,387.67,289,1789,France,France,1963,1674,32.95,4,Turbojet,871,26.06,8.03
BD584,Bombardier,209.82,824,752,Canada,Canada,1991,5764,45.83,4,Turbojet,856,61.14,23.18
C731,Comac,234.98,641,756,China,China,2015,4672,21.96,4,Turboprop,810,48.01,10.65
B363,Boeing,299.09,438,1356,USA,USA,2007,14171,45.07,4,Turboprop,843,60.0,18.57
BD252,Bombardier,494.63,178,211,Canada,Canada,1980,6464,65.9,4,Turboprop,855,44.17,11.42
C228,Comac,246.56,133,914,China,China,1961,7991,45.85,2,Turbojet,833,64.5,11.07
TU601,Tupolev,362.2,755,777,Russia,Russia,1996,11320,47.98,4,Turbofan,882,57.7,21.16
C210,Comac,410.75,591,1105,China,China,1984,6707,41.07,4,Turboprop,886,59.53,18.95
A128,Airbus,265.76,585,1557,France,France,1989,11834,28.42,2,Turbofan,920,57.06,16.76
EM651,Embraer,176.65,839,1789,Brazil,Brazil,1971,14651,54.6,4,Turbofan,838,28.07,12.81
MJ661,Mitsubishi,335.94,98,1130,Japan,Japan,2002,5560,66.25,2,Turbojet,878,37.68,11.79
MJ777,Mitsubishi,219.1,289,1681,Japan,Japan,1988,13055,35.99,4,Turboprop,889,58.3,14.2
